推移状態,話者,表示,発話
TE01,A,さっきも聞いてたと思うけど、<MainClaim>ってみんなに言いたいんだ。考えてみたけど、ちょっとうまく言えないから<YourName>さんの助けがほしいです。,さっきも聞いてたと思うけど、<MainClaim>ってみんなに言いたいんだ。考えてみたけど、ちょっとうまく言えないから<YourName>さんの助けがほしいです。
TE01,B,聞いてたと思うけど、ボクは<MainClaim>と思う。みんなにうまくそれを伝えるために、<YourName>さんに助けてほしいんだ。,聞いてたと思うけど、ボクは<MainClaim>と思う。みんなにうまくそれを伝えるために、<YourName>さんに助けてほしいんだ。
TE01,C,えっと、ぼくは<MainClaim>って考えてるんだけど、うまくまとまらないから、<YourName>さんの助けを借りたいんだ。,えっと、ぼくは<MainClaim>って考えてるんだけど、うまくまとまらないから、<YourName>さんの助けを借りたいんだ。
TE01,D,<YourName>さん、ボクは<MainClaim>ってみんなに言いたいんだけど、自分だけじゃまとまらないから助けてほしいんだ。,<YourName>さん、ボクは<MainClaim>ってみんなに言いたいんだけど、自分だけじゃまとまらないから助けてほしいんだ。
TE02,A,何か例を挙げてほしいって言われたらどうしたらいい？,何か例を挙げてほしいって言われたらどうしたらいい？
TE02,B,もし、それだけだとわかりにくいから例を挙げてって言われたら、なんて言ったらいいかな。,もし、それだけだとわかりにくいから例を挙げて、って言われたら、なんて言ったらいいかな。
TE02,C,まず、具体的な例を挙げてほしいって言われたらなんて言おうかな。,まず、具体的な例を挙げてほしいって言われたらなんて言おうかな。
TE02,D,例がないとわかりづらいって言われたらどんな例を挙げたらいいかな。,例がないとわかりづらいって言われたらどんな例を挙げたらいいかな。
TE03,A,もう少し根拠を説明してって言われたら、どう答えたらいい？,もう少し根拠を説明してって言われたら、どう答えたらいい？
TE03,B,もう少し詳しく説明してほしいって言われたら、なんて言ったらいいのかな？,もう詳しく少し説明してほしいって言われたら、なんて言ったらいいのかな？
TE03,C,なんでそう考えるのかもう少し説明してって言われたら、なんて返そうかな？,なんでそう考えるのかもう少し説明してって言われたら、なんて返そうかな？
TE03,D,じゃあもっと詳しく説明してほしいって言われたら、どう答えたらいい？,じゃあもっと詳しく説明してほしいって言われたら、どう答えたらいい？
TE04,A,じゃあ<Argument>って言ったとき、どんな反論があると思う？,じゃあ<Argument>って言ったとき、どんな反論があると思う？
TE04,B,反論された時のことを考えたいから、<Argument>っいうのに対してどんな反論があるか考えてほしい。,反論された時のことを考えたいから、<Argument>っいうのに対してどんな反論があるか考えてほしい。
TE04,C,ぼくの<Argument>って意見に対しては、どんな反論があるかな,ぼくの<Argument>って意見に対しては、どんな反論があるかな。
TE04,D,<Argument>って言ったときに反論があるとしたら、どんなのだと思う？,<Argument>って言ったときに反論があるとしたら、どんなのだと思う？
TE05,A,今の反論に対しては、<YourName>さんとしてはどう返せばいいと思う？,今の反論に対しては、<YourName>さんとしてはどう返せばいいと思う？
TE05,B,その反論に対して<YourName>さんはどう返す？,その反論に対して<YourName>さんはどう返す？
TE05,C,じゃあ<YourName>さんなら、その反論にはなんて返す？,じゃあ<YourName>さんなら、その反論にはなんて返す？
TE05,D,いまの反論に対しての返答を考えておこうと思うんだけど、<YourName>さんなら何て言う？,いまの反論に対しての返答を考えておこうと思うんだけど、<YourName>さんなら何て言う？
TE06,A,他に考慮した方がいい論点や意見って何かあるかな,他に考慮した方がいい論点や意見って何かあるかな
TE06,B,他にはどんな論点や意見を考慮して話すべきだと思う？,他にはどんな論点や意見を考慮して話すべきだと思う？
TE06,C,考慮すべき論点や意見って他には何かあるかな。,考慮すべき論点や意見って他には何かあるかな。
TE06,D,他にはどんな論点や意見を考えるといいのかな。,他にはどんな論点や意見を考えるといいのかな。
TE07,A,<YourName>さんに助けてもらったから、だいぶ考えがまとまったよ。ありがとう。議論の最中もときどき助けてね。,<YourName>さんに、助けてもらったから、だいぶ考えがまとまったよ。ありがとう。議論の最中も、ときどき助けてね。
TE07,B,ありがとう。<YourName>さんのおかげで、ボクもうまく議論に参加できそう。議論が始まってからも助けてもらうかもしれないから、その時はよろしくね。,ありがとう。<YourName>さんのおかげで、ボクもうまく議論に参加できそう。議論が始まってからも、助けてもらうかもしれないから、その時はよろしくね。
TE07,C,<YourName>さんが協力してくれたおかげで、ぼくもうまく議論できそうだよ。サンキュー。この後の議論でも、ときどき助言してほしいです。,<YourName>さんが協力してくれたおかげで、ぼくもうまく議論できそうだよ。サンキュー。この後の議論でも、ときどき助言してほしいです。
TE07,D,協力してくれてありがとう。<YourName>さんの助言のおかげで、うまく議論できる気がする。議論が始まってからも、たまに助けてもらえると嬉しいな。,協力してくれてありがとう。<YourName>さんの助言のおかげで、うまく議論できる気がする。議論が始まってからも、たまに助けてもらえると嬉しいな。
