推移状態,話者,表示,発話
TE01,A,さっきも聞いてたと思うけど、<MainClaim>ってみんなに言いたいんだ。考えてみたけど、ちょっとうまく言えないから<YourName>さんの助けがほしいです。,さっきも聞いてたと思うけど、<MainClaim>ってみんなに言いたいんだ。考えてみたけど、ちょっとうまく言えないから<YourName>さんの助けがほしいです。
TE01,B,聞いてたと思うけど、ボクは<MainClaim>と思う。みんなにうまくそれを伝えるために、<YourName>さんに助けてほしいんだ。,聞いてたと思うけど、ボクは<MainClaim>と思う。みんなにうまくそれを伝えるために、<YourName>さんに助けてほしいんだ。
TE01,C,えっと、ぼくは<MainClaim>って考えてるんだけど、うまくまとまらないから、<YourName>さんの助けを借りたいんだ。,えっと、ぼくは<MainClaim>って考えてるんだけど、うまくまとまらないから、<YourName>さんの助けを借りたいんだ。
TE01,D,<YourName>さん、ボクは<MainClaim>ってみんなに言いたいんだけど、自分だけじゃまとまらないから助けてほしいんだ。,<YourName>さん、ボクは<MainClaim>ってみんなに言いたいんだけど、自分だけじゃまとまらないから助けてほしいんだ。
TE02,A,<MainClaim>っていう考えについて、何か例を挙げてほしいって言われたらなんて言ったらいい？,何か例を挙げてほしいって言われたらどうしたらいい？
TE02,B,<MainClaim>って言ったときに、それだけだとわかりにくいから例を挙げてって言われたら、なんて言ったらいいかな。,もし、それだけだとわかりにくいから例を挙げて、って言われたら、なんて言ったらいいかな。
TE02,C,<MainClaim>っていう考えについて、具体的な例を挙げてほしいって言われたらなんて言おうかな。,まず、具体的な例を挙げてほしいって言われたらなんて言おうかな。
TE02,D,例がないとわかりづらいって言われたら、<MainClaim>っていう考えについて、どんな例を挙げたらいいかな。,例がないとわかりづらいって言われたらどんな例を挙げたらいいかな。
TE03,A,<Argument>という考えについて、もう少し根拠を説明してって言われたらどう答えたらいい？,もう少し根拠を説明してって言われたら、どう答えたらいい？
TE03,B,<Argument>という考えについてもう少し詳しく説明してほしいって言われたら、なんて言ったらいいのかな？,もう詳しく少し説明してほしいって言われたら、なんて言ったらいいのかな？
TE03,C,なんで<Argument>だと考えるのか、もう少し説明してって言われたら、なんて返そうかな？,なんでそう考えるのかもう少し説明してって言われたら、なんて返そうかな？
TE03,D,じゃあ<Argument>という考えについてもっと詳しく説明してほしいって言われたら、どう答えたらいい？,じゃあもっと詳しく説明してほしいって言われたら、どう答えたらいい？
TE04,A,じゃあ<Argument>って言われたとき、<YourName>さんならどう反論する？反論された時のことを考えたいんだ。,じゃあ<Argument>って言われたとき、<YourName>さんならどう反論する？。反論された時のことを考えたいんだ。
TE04,B,反論された時のことを考えたいから、<Argument>っいうのに対して<YourName>さんならどう反論するのか教えてください。,反論された時のことを考えたいから、<Argument>っいうのに対して<YourName>さんならどう反論するのか教えてください。
TE04,C,ぼくの<Argument>って意見に対して、<YourName>さんならどう反論する？反論された時のことを考えたいから、教えてください。,ぼくの<Argument>って意見に対して、<YourName>さんならどう反論する？。反論された時のことを考えたいから、教えてください。
TE04,D,反論を想定しておきたいんだけど、<Argument>っていう意見に反論するとしたら、<YourName>さんならなんて言う？,反論を想定しておきたいんだけど、<Argument>っていう意見に反論するとしたら、<YourName>さんならなんて言う？
TE05,A,「<Refute>」っていう反論に対しては、<YourName>さんとしてはどう返せばいいと思う？,今の反論に対しては、<YourName>さんとしてはどう返せばいいと思う？
TE05,B,「<Refute>」っていう反論に対して<YourName>さんはどう返す？,その反論に対して<YourName>さんはどう返す？
TE05,C,じゃあ<YourName>さんなら、「<Refute>」っていう反論にはなんて返す？,じゃあ<YourName>さんなら、その反論にはなんて返す？
TE05,D,「<Refute>」っていう反論に対して、<YourName>さんなら何て言う？,いまの反論に対しての返答を考えておこうと思うんだけど、<YourName>さんなら何て言う？
TE06,A,他に考慮した方がいい論点や意見って何かあるかな,他に考慮した方がいい論点や意見って何かあるかな
TE06,B,他にはどんな論点や意見を考慮して話すべきだと思う？,他にはどんな論点や意見を考慮して話すべきだと思う？
TE06,C,考慮すべき論点や意見って他には何かあるかな。,考慮すべき論点や意見って他には何かあるかな。
TE06,D,他にはどんな論点や意見を考えるといいのかな。,他にはどんな論点や意見を考えるといいのかな。
TE07,A,<YourName>さんに助けてもらったから、だいぶ考えがまとまったよ。ありがとう。議論の最中もときどき助けてね。,<YourName>さんに、助けてもらったから、だいぶ考えがまとまったよ。ありがとう。議論の最中も、ときどき助けてね。
TE07,B,ありがとう。<YourName>さんのおかげで、ボクもうまく議論に参加できそう。議論が始まってからも助けてもらうかもしれないから、その時はよろしくね。,ありがとう。<YourName>さんのおかげで、ボクもうまく議論に参加できそう。議論が始まってからも、助けてもらうかもしれないから、その時はよろしくね。
TE07,C,<YourName>さんが協力してくれたおかげで、ぼくもうまく議論できそうだよ。サンキュー。この後の議論でも、ときどき助言してほしいです。,<YourName>さんが協力してくれたおかげで、ぼくもうまく議論できそうだよ。サンキュー。この後の議論でも、ときどき助言してほしいです。
TE07,D,協力してくれてありがとう。<YourName>さんの助言のおかげで、うまく議論できる気がする。議論が始まってからも、たまに助けてもらえると嬉しいな。,協力してくれてありがとう。<YourName>さんの助言のおかげで、うまく議論できる気がする。議論が始まってからも、たまに助けてもらえると嬉しいな。
